request_type,department,officer_workload,queue_size,priority,medical_urgency,legal_urgency,citizen_category,escalation_count,base_days,sla_limit_days,processing_days,delayed,sla_breached,officer_id,is_anomaly,anomaly_type
Complaint Registration,Complaints,18,84,Low,0,0,General,0,15.0,20.0,55.56,1,1,108,0,None
General Service Request,Revenue,37,218,Critical,0,0,OBC,0,6.0,10.0,12.1,1,1,112,0,None
Caste Certificate,Revenue,25,137,Medium,0,0,General,0,7.0,10.0,25.56,1,1,101,0,None
Pension Request,Social Welfare,13,104,High,0,0,SC,0,18.0,21.0,35.28,1,1,111,0,None
Land Approval,Land,23,163,High,0,0,General,0,30.0,45.0,81.6,1,1,113,0,None
Income Certificate,Revenue,20,176,Medium,0,0,General,0,5.0,7.0,19.34,1,1,112,0,None
Business License,Commercial,20,190,Medium,0,0,OBC,0,20.0,25.0,81.59,1,1,106,0,None
Land Approval,Land,24,192,Medium,0,0,ST,3,30.0,45.0,269.18,1,1,113,0,None
Complaint Registration,Complaints,16,133,Low,0,0,General,0,15.0,20.0,61.1,1,1,105,0,None
Scholarship Request,Social Welfare,17,129,Medium,0,0,General,0,12.0,15.0,39.62,1,1,114,0,None
Land Approval,Land,15,142,Medium,0,0,SC,3,30.0,45.0,210.07,1,1,104,0,None
Complaint Registration,Complaints,19,156,High,0,1,OBC,2,15.0,20.0,67.64,1,1,111,0,None
Income Certificate,Revenue,21,188,High,0,0,ST,0,5.0,7.0,13.61,1,1,106,0,None
Complaint Registration,Complaints,21,109,Low,0,0,General,0,15.0,20.0,64.36,1,1,107,0,None
Residence Certificate,Revenue,37,219,Low,0,0,General,0,4.0,7.0,26.27,1,1,107,0,None
Land Approval,Land,26,227,High,0,0,SC,0,30.0,45.0,90.88,1,1,105,0,None
Caste Certificate,Revenue,10,80,High,0,1,General,0,7.0,10.0,10.41,1,1,101,0,None
Income Certificate,Revenue,19,152,Medium,0,0,General,2,5.0,7.0,31.11,1,1,102,0,None
Caste Certificate,Revenue,25,160,Critical,0,0,SC,0,7.0,10.0,11.66,1,1,104,0,None
Complaint Registration,Complaints,30,258,Critical,0,1,SC,0,15.0,20.0,29.66,1,1,108,0,None
Residence Certificate,Revenue,21,106,Medium,0,0,Senior Citizen,0,4.0,7.0,11.34,1,1,104,0,None
Business License,Commercial,17,177,Medium,0,0,General,0,20.0,25.0,73.0,1,1,111,0,None
Caste Certificate,Revenue,16,67,Low,0,0,General,0,7.0,10.0,22.5,1,1,113,0,None
Scholarship Request,Social Welfare,10,119,Medium,0,0,General,0,12.0,15.0,34.82,1,1,110,0,None
Business License,Commercial,27,219,Medium,0,0,ST,0,20.0,25.0,90.53,1,1,112,0,None
Business License,Commercial,14,114,Medium,0,0,OBC,0,20.0,25.0,50.08,1,1,105,0,None
Residence Certificate,Revenue,9,72,High,0,0,General,0,4.0,7.0,6.15,1,0,105,0,None
Residence Certificate,Revenue,23,198,Medium,0,0,General,1,4.0,7.0,24.29,1,1,107,0,None
Caste Certificate,Revenue,29,210,Medium,0,0,General,0,7.0,10.0,32.26,1,1,103,0,None
Residence Certificate,Revenue,44,319,Medium,0,0,OBC,0,4.0,7.0,25.14,1,1,101,0,None
Pension Request,Social Welfare,12,72,High,0,0,ST,0,18.0,21.0,31.67,1,1,107,0,None
Income Certificate,Revenue,12,113,High,0,0,OBC,0,5.0,7.0,9.72,1,1,113,0,None
General Service Request,Revenue,32,219,Medium,0,0,SC,0,6.0,10.0,28.62,1,1,103,0,None
Land Approval,Land,16,125,Critical,0,0,General,0,30.0,45.0,40.89,1,0,109,0,None
Income Certificate,Revenue,27,102,Low,0,0,General,0,5.0,7.0,23.63,1,1,113,0,None
Complaint Registration,Complaints,11,50,Medium,0,0,ST,0,15.0,20.0,29.61,1,1,111,0,None
Land Approval,Land,22,166,Medium,0,0,General,0,30.0,45.0,112.51,1,1,113,0,None
Income Certificate,Revenue,29,205,Medium,0,0,Senior Citizen,0,5.0,7.0,22.06,1,1,114,0,None
Scholarship Request,Social Welfare,27,216,Medium,0,0,General,0,12.0,15.0,55.04,1,1,109,0,None
Caste Certificate,Revenue,26,114,Medium,0,0,General,1,7.0,10.0,33.54,1,1,114,0,None
Pension Request,Social Welfare,24,149,Medium,0,0,General,0,18.0,21.0,69.04,1,1,102,0,None
Complaint Registration,Complaints,17,161,Medium,0,0,SC,0,15.0,20.0,52.86,1,1,110,0,None
General Service Request,Revenue,15,139,Low,0,0,General,0,6.0,10.0,23.22,1,1,114,0,None
Income Certificate,Revenue,20,155,Medium,0,0,General,0,5.0,7.0,18.66,1,1,104,0,None
Land Approval,Land,22,124,High,0,0,General,0,30.0,45.0,58.33,1,1,109,0,None
Income Certificate,Revenue,9,69,Low,0,0,OBC,0,5.0,7.0,12.99,1,1,111,0,None
Scholarship Request,Social Welfare,14,85,Critical,0,0,OBC,0,12.0,15.0,10.31,0,0,102,0,None
Complaint Registration,Complaints,25,198,High,0,0,SC,1,15.0,20.0,62.72,1,1,111,0,None
Business License,Commercial,16,71,Medium,0,0,General,0,20.0,25.0,47.47,1,1,106,0,None
Scholarship Request,Social Welfare,13,112,Medium,0,0,SC,1,12.0,15.0,46.59,1,1,112,0,None
Residence Certificate,Revenue,31,184,Medium,0,0,General,0,4.0,7.0,16.9,1,1,114,0,None
Scholarship Request,Social Welfare,22,110,Low,0,0,General,2,12.0,15.0,88.33,1,1,102,1,high_rejections
Pension Request,Social Welfare,13,56,Medium,0,0,ST,0,18.0,21.0,39.71,1,1,104,0,None
Land Approval,Land,18,146,Critical,0,1,General,0,30.0,45.0,36.35,0,0,110,0,None
Land Approval,Land,6,69,High,0,0,General,1,30.0,45.0,57.32,1,1,109,0,None
Business License,Commercial,14,133,Medium,0,0,General,0,20.0,25.0,54.59,1,1,112,0,None
Complaint Registration,Complaints,18,96,Low,0,0,ST,1,15.0,20.0,75.91,1,1,109,0,None
Income Certificate,Revenue,15,130,Medium,0,0,Senior Citizen,0,5.0,7.0,15.95,1,1,109,0,None
Income Certificate,Revenue,25,173,High,0,0,General,2,5.0,7.0,25.27,1,1,101,0,None
General Service Request,Revenue,17,133,Low,0,0,OBC,2,6.0,10.0,44.12,1,1,104,0,None
Residence Certificate,Revenue,9,109,Medium,0,0,General,0,4.0,7.0,9.89,1,1,102,0,None
General Service Request,Revenue,32,162,Low,0,0,OBC,0,6.0,10.0,34.22,1,1,112,0,None
Business License,Commercial,22,119,Medium,0,0,OBC,0,20.0,25.0,62.55,1,1,102,0,None
Land Approval,Land,13,120,Critical,1,0,General,0,30.0,45.0,37.75,1,0,108,0,None
Land Approval,Land,19,92,Medium,0,0,General,0,30.0,45.0,90.55,1,1,103,0,None
General Service Request,Revenue,20,120,Medium,0,0,Senior Citizen,0,6.0,10.0,17.98,1,1,112,0,None
Scholarship Request,Social Welfare,42,217,Medium,0,0,SC,0,12.0,15.0,64.62,1,1,109,0,None
Residence Certificate,Revenue,22,141,High,0,0,SC,0,4.0,7.0,10.7,1,1,105,0,None
Complaint Registration,Complaints,16,160,High,0,0,Senior Citizen,0,15.0,20.0,32.76,1,1,103,0,None
Land Approval,Land,14,121,Low,0,0,Senior Citizen,0,30.0,45.0,114.35,1,1,108,0,None
General Service Request,Revenue,26,147,High,0,1,SC,1,6.0,10.0,22.55,1,1,113,0,None
Pension Request,Social Welfare,18,121,Medium,0,0,General,0,18.0,21.0,0.5,0,0,112,1,fast_approval
Business License,Commercial,26,208,Medium,0,0,ST,0,20.0,25.0,98.09,1,1,103,0,None
Complaint Registration,Complaints,9,81,Low,0,0,OBC,0,15.0,20.0,40.78,1,1,102,0,None
Income Certificate,Revenue,9,38,Low,0,0,Senior Citizen,0,5.0,7.0,13.38,1,1,110,0,None
Residence Certificate,Revenue,27,257,High,0,0,ST,0,4.0,7.0,12.84,1,1,108,0,None
General Service Request,Revenue,12,110,Critical,0,1,General,1,6.0,10.0,8.64,1,0,108,0,None
Pension Request,Social Welfare,32,214,Medium,0,0,OBC,0,18.0,21.0,87.91,1,1,106,0,None
Business License,Commercial,18,83,Medium,0,0,Senior Citizen,0,20.0,25.0,58.25,1,1,107,0,None
Caste Certificate,Revenue,12,101,Critical,1,0,OBC,0,7.0,10.0,8.17,0,0,110,0,None
Caste Certificate,Revenue,43,164,Medium,0,0,SC,0,7.0,10.0,35.63,1,1,109,0,None
Pension Request,Social Welfare,10,102,Medium,0,0,General,0,18.0,21.0,53.76,1,1,106,0,None
Land Approval,Land,17,126,Medium,0,0,General,1,30.0,45.0,131.77,1,1,102,0,None
Scholarship Request,Social Welfare,27,203,Medium,0,0,ST,0,12.0,15.0,51.98,1,1,103,0,None
Residence Certificate,Revenue,29,122,High,0,0,OBC,0,4.0,7.0,10.53,1,1,107,0,None
Residence Certificate,Revenue,16,83,Medium,0,0,OBC,0,4.0,7.0,10.41,1,1,114,0,None
Business License,Commercial,8,69,Low,0,0,General,3,20.0,25.0,121.65,1,1,107,0,None
Residence Certificate,Revenue,44,222,Medium,0,0,Differently Abled,0,4.0,7.0,22.19,1,1,112,0,None
General Service Request,Revenue,18,106,Medium,0,0,SC,0,6.0,10.0,19.44,1,1,107,0,None
Scholarship Request,Social Welfare,13,112,Low,0,0,Senior Citizen,0,12.0,15.0,44.09,1,1,101,0,None
Land Approval,Land,18,141,Medium,0,0,General,2,30.0,45.0,172.24,1,1,101,0,None
Income Certificate,Revenue,19,165,Low,0,0,OBC,2,5.0,7.0,43.19,1,1,102,0,None
Land Approval,Land,13,115,Medium,0,0,Differently Abled,0,30.0,45.0,92.84,1,1,113,0,None
Pension Request,Social Welfare,17,170,Low,0,0,General,0,18.0,21.0,84.53,1,1,110,0,None
Income Certificate,Revenue,42,349,Low,0,0,SC,0,5.0,7.0,41.58,1,1,108,0,None
Residence Certificate,Revenue,18,173,High,0,0,OBC,0,4.0,7.0,10.22,1,1,113,0,None
Land Approval,Land,19,182,Medium,0,0,OBC,0,30.0,45.0,105.61,1,1,108,0,None
Complaint Registration,Complaints,16,58,Medium,0,0,SC,2,15.0,20.0,67.92,1,1,103,0,None
Complaint Registration,Complaints,14,142,Medium,0,0,General,1,15.0,20.0,64.02,1,1,105,0,None
Complaint Registration,Complaints,16,96,High,0,0,General,0,15.0,20.0,31.24,1,1,107,0,None
Income Certificate,Revenue,13,57,Low,0,0,OBC,0,5.0,7.0,14.51,1,1,101,0,None
Income Certificate,Revenue,29,149,Medium,0,0,General,0,5.0,7.0,21.01,1,1,106,0,None
Pension Request,Social Welfare,16,110,Medium,0,0,General,0,18.0,21.0,58.24,1,1,113,1,high_rejections
Income Certificate,Revenue,20,175,Medium,0,0,General,0,5.0,7.0,19.79,1,1,105,0,None
General Service Request,Revenue,23,153,Medium,0,0,SC,0,6.0,10.0,22.38,1,1,103,0,None
Business License,Commercial,14,72,Medium,0,0,OBC,2,20.0,25.0,86.23,1,1,109,0,None
Income Certificate,Revenue,23,156,Low,0,0,General,0,5.0,7.0,23.97,1,1,104,0,None
Caste Certificate,Revenue,17,143,Medium,0,0,OBC,0,7.0,10.0,22.31,1,1,110,0,None
Complaint Registration,Complaints,15,116,Medium,0,0,General,0,15.0,20.0,40.81,1,1,110,0,None
Business License,Commercial,15,96,Medium,0,0,General,0,20.0,25.0,60.17,1,1,112,0,None
Income Certificate,Revenue,16,125,Medium,0,0,OBC,0,5.0,7.0,15.37,1,1,105,0,None
Complaint Registration,Complaints,24,211,Low,0,0,OBC,0,15.0,20.0,80.6,1,1,101,0,None
Business License,Commercial,27,127,Medium,0,0,General,0,20.0,25.0,77.58,1,1,113,0,None
Land Approval,Land,24,203,Critical,0,1,SC,1,30.0,45.0,71.53,1,1,113,0,None
Residence Certificate,Revenue,16,144,Medium,0,0,General,0,4.0,7.0,13.33,1,1,107,0,None
Residence Certificate,Revenue,23,126,Critical,1,0,SC,0,4.0,7.0,6.25,1,0,103,0,None
Scholarship Request,Social Welfare,13,124,Medium,0,0,Senior Citizen,0,12.0,15.0,36.37,1,1,111,0,None
Business License,Commercial,21,184,High,0,0,General,0,20.0,25.0,53.4,1,1,102,0,None
Income Certificate,Revenue,19,155,Critical,0,0,OBC,0,5.0,7.0,6.17,0,0,106,0,None
Caste Certificate,Revenue,27,159,Low,0,0,Senior Citizen,0,7.0,10.0,35.53,1,1,114,0,None
Scholarship Request,Social Welfare,32,255,Critical,1,0,OBC,2,12.0,15.0,46.64,1,1,104,0,None
Scholarship Request,Social Welfare,19,179,Low,0,0,General,0,12.0,15.0,58.13,1,1,106,0,None
Pension Request,Social Welfare,9,119,Low,0,0,General,0,18.0,21.0,60.56,1,1,113,0,None
Complaint Registration,Complaints,25,126,Medium,0,0,OBC,0,15.0,20.0,55.1,1,1,110,0,None
Pension Request,Social Welfare,13,82,Medium,0,0,ST,0,18.0,21.0,41.26,1,1,102,0,None
Residence Certificate,Revenue,11,104,Low,0,0,General,0,4.0,7.0,12.07,1,1,112,0,None
Land Approval,Land,34,219,Low,0,0,General,2,30.0,45.0,344.46,1,1,110,0,None
Land Approval,Land,12,122,Low,0,0,ST,0,30.0,45.0,104.33,1,1,106,0,None
Land Approval,Land,15,93,Medium,0,0,General,0,30.0,45.0,77.33,1,1,107,0,None
Land Approval,Land,23,97,Medium,0,0,General,0,30.0,45.0,90.55,1,1,111,0,None
Scholarship Request,Social Welfare,12,138,Medium,0,0,OBC,0,12.0,15.0,39.16,1,1,102,0,None
Caste Certificate,Revenue,11,100,Medium,0,0,SC,0,7.0,10.0,17.98,1,1,114,0,None
Income Certificate,Revenue,18,118,High,0,0,OBC,0,5.0,7.0,12.21,1,1,110,0,None
Business License,Commercial,14,116,Medium,0,0,General,2,20.0,25.0,105.55,1,1,103,0,None
Scholarship Request,Social Welfare,17,88,Medium,0,0,General,1,12.0,15.0,44.86,1,1,101,0,None
General Service Request,Revenue,18,128,Low,0,0,Differently Abled,0,6.0,10.0,22.98,1,1,108,0,None
Caste Certificate,Revenue,22,104,Medium,0,0,Senior Citizen,0,7.0,10.0,22.26,1,1,103,0,None
Residence Certificate,Revenue,27,230,Medium,0,0,General,1,4.0,7.0,26.48,1,1,107,0,None
Complaint Registration,Complaints,13,90,High,0,0,ST,0,15.0,20.0,24.46,1,1,110,0,None
Complaint Registration,Complaints,23,128,Medium,0,0,OBC,2,15.0,20.0,92.52,1,1,106,0,None
Pension Request,Social Welfare,14,113,Medium,0,0,General,0,18.0,21.0,51.81,1,1,108,0,None
Residence Certificate,Revenue,17,82,Critical,0,1,Differently Abled,0,4.0,7.0,4.14,0,0,105,0,None
Pension Request,Social Welfare,13,114,Low,0,0,OBC,0,18.0,21.0,66.45,1,1,113,0,None
Pension Request,Social Welfare,15,103,High,0,0,General,0,18.0,21.0,36.2,1,1,106,0,None
